id,split,domain_l1_en,domain_l1_zh,domain_l2_en,domain_l2_zh,domain_path_en,domain_path_zh
10000,toc,Social,社交,Instant Messaging,即时通讯,Social > Instant Messaging,社交->即时通讯
10001,toc,Social,社交,Video Calls,视频通话,Social > Video Calls,社交->视频通话
10002,toc,Social,社交,Location Sharing,位置共享,Social > Location Sharing,社交->位置共享
10003,toc,Social,社交,Social Networking,社交网络,Social > Social Networking,社交->社交网络
10004,toc,Lifestyle,生活,Home Services,家政服务,Lifestyle > Home Services,生活->家政服务
10005,toc,Lifestyle,生活,Pet Services,宠物服务,Lifestyle > Pet Services,生活->宠物服务
10006,toc,Lifestyle,生活,Beauty & Hair Salon,美容美发,Lifestyle > Beauty & Hair Salon,生活->美容美发
10007,toc,Lifestyle,生活,Auto Services,汽车服务,Lifestyle > Auto Services,生活->汽车服务
10008,toc,Lifestyle,生活,Real Estate Services,房产服务,Lifestyle > Real Estate Services,生活->房产服务
10009,toc,Lifestyle,生活,Parenting & Childcare,母婴育儿,Lifestyle > Parenting & Childcare,生活->母婴育儿
10010,toc,Lifestyle,生活,Laundry Services,洗衣服务,Lifestyle > Laundry Services,生活->洗衣服务
10011,toc,Lifestyle,生活,Flower Delivery,鲜花配送,Lifestyle > Flower Delivery,生活->鲜花配送
10012,toc,Food,美食,Food Delivery,外卖订餐,Food > Food Delivery,美食->外卖订餐
10013,toc,Food,美食,Grocery Shopping,食材购买,Food > Grocery Shopping,美食->食材购买
10014,toc,Food,美食,Restaurant Recommendations,餐厅推荐,Food > Restaurant Recommendations,美食->餐厅推荐
10015,toc,Food,美食,Dining Reviews,餐饮评价,Food > Dining Reviews,美食->餐饮评价
10016,toc,Travel,旅行,Transportation,交通出行,Travel > Transportation,旅行->交通出行
10017,toc,Travel,旅行,Travel Tools,旅行工具,Travel > Travel Tools,旅行->旅行工具
10018,toc,Travel,旅行,Travel Expense Tracking,旅行记账,Travel > Travel Expense Tracking,旅行->旅行记账
10019,toc,Travel,旅行,Visa Application,签证办理,Travel > Visa Application,旅行->签证办理
