route,global_id,split,taxonomy_id,domain_l1_en,domain_l1_zh,domain_l2_en,domain_l2_zh,domain_path_en,domain_path_zh
route1,2,tob,20029,Tourism,旅游行业,Tourism Marketing Specialist,旅游营销专员,Tourism > Tourism Marketing Specialist,旅游行业->旅游营销专员
route1,19,tob,20028,Tourism,旅游行业,Tour Product Designer,旅游产品设计师,Tourism > Tour Product Designer,旅游行业->旅游产品设计师
route1,22,tob,20000,Finance,金融,Investment Advisor,投资顾问,Finance > Investment Advisor,金融->投资顾问
route1,24,tob,20002,Finance,金融,Account Manager,客户经理,Finance > Account Manager,金融->客户经理
route1,27,tob,20022,Agriculture,农业行业,Agricultural Researcher,农业研究员,Agriculture > Agricultural Researcher,农业行业->农业研究员
route1,38,tob,20034,Hospitality,酒店行业,Marketing Specialist,市场专员,Hospitality > Marketing Specialist,酒店行业->市场专员
route1,41,tob,20013,IT & Internet,IT互联网,QA/Test Engineer,测试工程师,IT & Internet > QA/Test Engineer,IT互联网->测试工程师
route1,44,tob,20017,Construction,建筑行业,Project Manager,项目经理,Construction > Project Manager,建筑行业->项目经理
route1,48,tob,20181,IT & Internet,IT互联网,On-chain Data Analyst,链上数据分析师,IT & Internet > On-chain Data Analyst,IT互联网->链上数据分析师
route1,49,tob,20020,Agriculture,农业行业,Agricultural Technician,农业技术员,Agriculture > Agricultural Technician,农业行业->农业技术员
route1,51,tob,20030,Hospitality,酒店行业,Hotel Manager,酒店经理,Hospitality > Hotel Manager,酒店行业->酒店经理
route1,58,tob,20010,IT & Internet,IT互联网,Software Engineer,软件工程师,IT & Internet > Software Engineer,IT互联网->软件工程师
route1,65,tob,20025,Tourism,旅游行业,Travel Consultant,旅游顾问,Tourism > Travel Consultant,旅游行业->旅游顾问
route1,69,tob,20033,Hospitality,酒店行业,Sales Manager,销售经理,Hospitality > Sales Manager,酒店行业->销售经理
route1,75,tob,20024,Agriculture,农业行业,Agricultural Products Sales,农产品销售,Agriculture > Agricultural Products Sales,农业行业->农产品销售
route1,83,tob,20023,Agriculture,农业行业,Farm Machinery Operator,农机操作员,Agriculture > Farm Machinery Operator,农业行业->农机操作员
route1,86,tob,20005,Healthcare,医疗健康,Clinical Physician,临床医生,Healthcare > Clinical Physician,医疗健康->临床医生
route1,87,tob,20027,Tourism,旅游行业,Hotel Front Desk,酒店前台,Tourism > Hotel Front Desk,旅游行业->酒店前台
route1,98,tob,20039,Publishing,出版行业,Marketing Specialist,营销专员,Publishing > Marketing Specialist,出版行业->营销专员
route1,104,tob,20042,Aviation,航空行业,Ground Staff,地勤人员,Aviation > Ground Staff,航空行业->地勤人员
route1,112,tob,20050,Sports Industry,体育行业,Fitness Trainer,健身教练,Sports Industry > Fitness Trainer,体育行业->健身教练
route1,117,tob,20052,Environmental Services,环保行业,Environmental Consultant,环保顾问,Environmental Services > Environmental Consultant,环保行业->环保顾问
route1,119,tob,20036,Publishing,出版行业,Proofreader,校对员,Publishing > Proofreader,出版行业->校对员
route1,123,tob,20047,Sports Industry,体育行业,Event Operations,赛事运营,Sports Industry > Event Operations,体育行业->赛事运营
route1,127,tob,20054,Environmental Services,环保行业,Project Manager,项目经理,Environmental Services > Project Manager,环保行业->项目经理
route1,131,tob,20045,Sports Industry,体育行业,Sports Coach,体育教练,Sports Industry > Sports Coach,体育行业->体育教练
route1,138,tob,20043,Aviation,航空行业,Dispatcher,调度员,Aviation > Dispatcher,航空行业->调度员
route1,140,tob,20060,Beauty & Cosmetics,美妆行业,R&D Engineer,研发工程师,Beauty & Cosmetics > R&D Engineer,美妆行业->研发工程师
route1,143,tob,20152,Security,安全行业,Information Security,信息安全,Security > Information Security,安全行业->信息安全
route1,149,tob,20087,Marketing,市场营销,Market Researcher,市场研究员,Marketing > Market Researcher,市场营销->市场研究员
route1,155,tob,20167,Robotics & Automation,机器人与自动化,Automation Control Engineer,自动化控制工程师,Robotics & Automation > Automation Control Engineer,机器人与自动化->自动化控制工程师
route1,167,tob,20160,Research,科研行业,Academic Editor,学术编辑,Research > Academic Editor,科研行业->学术编辑
route1,168,tob,20107,Energy,能源行业,Petroleum Engineer,石油工程师,Energy > Petroleum Engineer,能源行业->石油工程师
route1,176,tob,20149,Pet Services,宠物行业,Pet Trainer,宠物训练师,Pet Services > Pet Trainer,宠物行业->宠物训练师
route1,184,tob,20105,Gaming,游戏行业,Game QA Tester,游戏测试,Gaming > Game QA Tester,游戏行业->游戏测试
route1,186,tob,20112,Real Estate,房地产行业,Property Appraiser,房产评估,Real Estate > Property Appraiser,房地产行业->房产评估
route1,189,tob,20063,Manufacturing,制造业,Process Engineer,工艺工程师,Manufacturing > Process Engineer,制造业->工艺工程师
route1,191,tob,20094,Media,传媒行业,Photographer,摄影师,Media > Photographer,传媒行业->摄影师
route1,204,tob,20078,Legal Services,法律行业,IP Specialist,知识产权专员,Legal Services > IP Specialist,法律行业->知识产权专员
route1,211,tob,20159,Research,科研行业,Data Analyst,数据分析师,Research > Data Analyst,科研行业->数据分析师
route1,213,tob,20113,Real Estate,房地产行业,Property Management,物业管理,Real Estate > Property Management,房地产行业->物业管理
route1,215,tob,20161,Beauty Care,美容行业,Beautician,美容师,Beauty Care > Beautician,美容行业->美容师
route1,222,tob,20180,Government & Public Sector,政务与公共事业,Public Utility Dispatcher,公用事业调度员,Government & Public Sector > Public Utility Dispatcher,政务与公共事业->公用事业调度员
route1,225,tob,20165,Beauty Care,美容行业,Spa Therapist,SPA技师,Beauty Care > Spa Therapist,美容行业->SPA技师
route1,227,tob,20143,Telecom,电信行业,Account Manager,客户经理,Telecom > Account Manager,电信行业->客户经理
route1,230,tob,20168,Robotics & Automation,机器人与自动化,Robotics Implementation Consultant,机器人工程实施顾问,Robotics & Automation > Robotics Implementation Consultant,机器人与自动化->机器人工程实施顾问
route1,233,tob,20132,Automotive,汽车行业,Automotive Engineering,汽车工程,Automotive > Automotive Engineering,汽车行业->汽车工程
route1,239,tob,20137,Insurance,保险行业,Claims Specialist,理赔专员,Insurance > Claims Specialist,保险行业->理赔专员
route1,242,tob,20092,Media,传媒行业,Director/Producer,编导,Media > Director/Producer,传媒行业->编导
route1,248,tob,20106,Energy,能源行业,Power Engineer,电力工程师,Energy > Power Engineer,能源行业->电力工程师
route1,250,tob,20098,Logistics,物流行业,Transport Dispatcher,运输调度,Logistics > Transport Dispatcher,物流行业->运输调度
route1,252,tob,20068,Education Industry,教育行业,Training Instructor,培训讲师,Education Industry > Training Instructor,教育行业->培训讲师
route1,255,tob,20072,Retail,零售行业,Purchasing Specialist,采购专员,Retail > Purchasing Specialist,零售行业->采购专员
route1,258,tob,20158,Research,科研行业,Project Manager,项目经理,Research > Project Manager,科研行业->项目经理
route1,261,tob,20065,Manufacturing,制造业,Supply Chain Specialist,供应链专员,Manufacturing > Supply Chain Specialist,制造业->供应链专员
route1,262,tob,20082,Human Resources,人力资源,Training Specialist,培训专员,Human Resources > Training Specialist,人力资源->培训专员
route1,263,tob,20109,Energy,能源行业,Energy Efficiency Engineer,节能工程师,Energy > Energy Efficiency Engineer,能源行业->节能工程师
route1,266,tob,20157,Research,科研行业,Lab Technician,实验员,Research > Lab Technician,科研行业->实验员
route1,267,tob,20093,Media,传媒行业,New Media Operations,新媒体运营,Media > New Media Operations,传媒行业->新媒体运营
route1,275,tob,20102,Gaming,游戏行业,Game Artist,游戏美术,Gaming > Game Artist,游戏行业->游戏美术
route1,279,tob,20090,Marketing,市场营销,PR Specialist,公关专员,Marketing > PR Specialist,市场营销->公关专员
route1,286,tob,20150,Pet Services,宠物行业,Pet Nutritionist,宠物营养师,Pet Services > Pet Nutritionist,宠物行业->宠物营养师
route1,288,tob,20086,Marketing,市场营销,Brand Manager,品牌经理,Marketing > Brand Manager,市场营销->品牌经理
route1,292,tob,20089,Marketing,市场营销,Digital Marketing,数字营销,Marketing > Digital Marketing,市场营销->数字营销
route1,298,tob,20085,Human Resources,人力资源,HR Business Partner,HRBP,Human Resources > HR Business Partner,人力资源->HRBP
route1,299,tob,20125,Design,设计行业,Fashion Designer,服装设计师,Design > Fashion Designer,设计行业->服装设计师
route1,302,tob,20154,Security,安全行业,Production Safety,生产安全,Security > Production Safety,安全行业->生产安全
route1,309,tob,20104,Gaming,游戏行业,Game Operations,游戏运营,Gaming > Game Operations,游戏行业->游戏运营
route1,316,tob,20073,Retail,零售行业,Visual Merchandiser,陈列设计师,Retail > Visual Merchandiser,零售行业->陈列设计师
route1,319,tob,20080,Legal Services,法律行业,Arbitrator,仲裁员,Legal Services > Arbitrator,法律行业->仲裁员
route1,323,tob,20069,Education Industry,教育行业,Education Consultant,教育顾问,Education Industry > Education Consultant,教育行业->教育顾问
route1,325,tob,20111,Real Estate,房地产行业,Real Estate Sales,房地产销售,Real Estate > Real Estate Sales,房地产行业->房地产销售
route1,327,tob,20138,Insurance,保险行业,Underwriter,核保专员,Insurance > Underwriter,保险行业->核保专员
route1,330,tob,20061,Manufacturing,制造业,Production Supervisor,生产主管,Manufacturing > Production Supervisor,制造业->生产主管
route1,336,tob,20095,Media,传媒行业,Advertising Creative,广告创意,Media > Advertising Creative,传媒行业->广告创意
route1,344,tob,20067,Education Industry,教育行业,University Professor,大学教授,Education Industry > University Professor,教育行业->大学教授
route1,348,tob,20151,Security,安全行业,Cybersecurity,网络安全,Security > Cybersecurity,安全行业->网络安全
route1,350,tob,20108,Energy,能源行业,New Energy Specialist,新能源专员,Energy > New Energy Specialist,能源行业->新能源专员
route1,356,tob,20096,Logistics,物流行业,Logistics Specialist,物流专员,Logistics > Logistics Specialist,物流行业->物流专员
route1,358,tob,20174,Natural Science & Mathematics,自然科学与数学,Scientific Computing Researcher,科学计算研究员,Natural Science & Mathematics > Scientific Computing Researcher,自然科学与数学->科学计算研究员
route1,363,tob,20074,Retail,零售行业,E-commerce Operations,电商运营,Retail > E-commerce Operations,零售行业->电商运营
route1,372,tob,20117,Food Service,餐饮行业,Restaurant Manager,餐厅经理,Food Service > Restaurant Manager,餐饮行业->餐厅经理
route1,378,tob,20123,Design,设计行业,Interior Designer,室内设计师,Design > Interior Designer,设计行业->室内设计师
route1,384,tob,20127,Consulting,咨询行业,Financial Consultant,财务顾问,Consulting > Financial Consultant,咨询行业->财务顾问
route1,390,tob,20175,Semiconductor & Electronics,半导体与电子,Chip Verification Engineer,芯片验证工程师,Semiconductor & Electronics > Chip Verification Engineer,半导体与电子->芯片验证工程师
route1,391,tob,20163,Beauty Care,美容行业,Nail Technician,美甲师,Beauty Care > Nail Technician,美容行业->美甲师
route1,393,tob,20176,Semiconductor & Electronics,半导体与电子,Embedded Systems Engineer,嵌入式系统工程师,Semiconductor & Electronics > Embedded Systems Engineer,半导体与电子->嵌入式系统工程师
route1,396,tob,20171,Biotech & Bioinformatics,生物科技与生物信息,Drug R&D Researcher,药物研发研究员,Biotech & Bioinformatics > Drug R&D Researcher,生物科技与生物信息->药物研发研究员
route1,400,tob,20162,Beauty Care,美容行业,Hairstylist,美发师,Beauty Care > Hairstylist,美容行业->美发师
route1,406,toc,10030,Health,健康,Mental Health,心理健康,Health > Mental Health,健康->心理健康
route1,408,toc,10053,Finance,财务,Insurance Services,保险服务,Finance > Insurance Services,财务->保险服务
route1,411,toc,10022,Shopping,购物,Secondhand Trading,二手交易,Shopping > Secondhand Trading,购物->二手交易
route1,413,toc,10033,Health,健康,Diet Management,饮食管理,Health > Diet Management,健康->饮食管理
route1,416,toc,10032,Health,健康,Fitness & Exercise,运动健身,Health > Fitness & Exercise,健康->运动健身
route1,421,toc,10055,Finance,财务,Investment & Wealth Management,投资理财,Finance > Investment & Wealth Management,财务->投资理财
route1,422,toc,10057,Finance,财务,Bookkeeping & Budgeting,记账理财,Finance > Bookkeeping & Budgeting,财务->记账理财
route1,424,toc,10024,Shopping,购物,Group Buying & Flash Sales,团购秒杀,Shopping > Group Buying & Flash Sales,购物->团购秒杀
route1,429,toc,10029,Health,健康,Rehabilitation Training,康复训练,Health > Rehabilitation Training,健康->康复训练
route1,433,toc,10048,Business,商务,Contract Management,合同管理,Business > Contract Management,商务->合同管理
route1,435,toc,10092,Public Service,公共服务,City Services,城市服务,Public Service > City Services,公共服务->城市服务
route1,439,toc,10038,Education,教育,Certification Exams,证书考试,Education > Certification Exams,教育->证书考试
route1,446,toc,10093,Public Service,公共服务,Government Services,政务办事,Public Service > Government Services,公共服务->政务办事
route1,451,toc,10087,Medical,医疗,Health Consultation,健康咨询,Medical > Health Consultation,医疗->健康咨询
route1,459,toc,10062,News,新闻,Financial News,财经新闻,News > Financial News,新闻->财经新闻
route1,464,toc,10063,News,新闻,News Reading,资讯阅读,News > News Reading,新闻->资讯阅读
route1,468,toc,10071,Photography,摄影,Video Production,视频制作,Photography > Video Production,摄影->视频制作
route1,471,toc,10075,Navigation,导航,Navigation,出行导航,Navigation > Navigation,导航->出行导航
