review_period,primary_plan_id,secondary_plan_id,focus_org_id,rule_adjustment,focus_employees,notice_ids,plan_filter,task_key,task_value,notes,task_key,task_value,notes,task_key,task_value,notes,task_key,task_value,notes,task_key,task_value,notes,task_key,task_value,notes,task_key,task_value,notes,task_key,task_value,notes,task_key,task_value,notes,task_key,task_value,notes,task_key,task_value,notes,task_key,task_value,notes,task_key,task_value,notes,task_key,task_value,notes,task_key,task_value,notes,task_key,task_value,notes
2024H2,PLAN2025A,PLAN2025B,ORG200,"{'rule_id': 'RULE1001', 'new_max_rate': 0.042, 'simulation_rate': 0.042}","['林知夏', '周承泽', '韩子昂']","['NOT9002', 'NOT9004']","{'status': 'active', 'plan_type': 'standard', 'start_date': '2025-01-01', 'end_date': '2025-03-31'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024H2,PLAN2025A,PLAN2025B,ORG200,"{'rule_id': 'RULE1001', 'new_max_rate': 0.042, 'simulation_rate': 0.042}","['林知夏', '周承泽', '韩子昂']","['NOT9002', 'NOT9004']","{'status': 'active', 'plan_type': 'standard', 'start_date': '2025-01-01', 'end_date': '2025-03-31'}",review_period,2024H2,绩效周期,review_period,2024H2,绩效周期,review_period,2024H2,绩效周期,review_period,2024H2,绩效周期,review_period,2024H2,绩效周期,review_period,2024H2,绩效周期,review_period,2024H2,绩效周期,review_period,2024H2,绩效周期,review_period,2024H2,绩效周期,review_period,2024H2,绩效周期,review_period,2024H2,绩效周期,review_period,2024H2,绩效周期,review_period,2024H2,绩效周期,review_period,2024H2,绩效周期,review_period,2024H2,绩效周期,review_period,2024H2,绩效周期
2024H2,PLAN2025A,PLAN2025B,ORG200,"{'rule_id': 'RULE1001', 'new_max_rate': 0.042, 'simulation_rate': 0.042}","['林知夏', '周承泽', '韩子昂']","['NOT9002', 'NOT9004']","{'status': 'active', 'plan_type': 'standard', 'start_date': '2025-01-01', 'end_date': '2025-03-31'}",primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案,primary_plan_id,PLAN2025A,现行常规调薪方案
2024H2,PLAN2025A,PLAN2025B,ORG200,"{'rule_id': 'RULE1001', 'new_max_rate': 0.042, 'simulation_rate': 0.042}","['林知夏', '周承泽', '韩子昂']","['NOT9002', 'NOT9004']","{'status': 'active', 'plan_type': 'standard', 'start_date': '2025-01-01', 'end_date': '2025-03-31'}",secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案,secondary_plan_id,PLAN2025B,核心人才保留方案
2024H2,PLAN2025A,PLAN2025B,ORG200,"{'rule_id': 'RULE1001', 'new_max_rate': 0.042, 'simulation_rate': 0.042}","['林知夏', '周承泽', '韩子昂']","['NOT9002', 'NOT9004']","{'status': 'active', 'plan_type': 'standard', 'start_date': '2025-01-01', 'end_date': '2025-03-31'}",focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心,focus_org_id,ORG200,产品创新中心
2024H2,PLAN2025A,PLAN2025B,ORG200,"{'rule_id': 'RULE1001', 'new_max_rate': 0.042, 'simulation_rate': 0.042}","['林知夏', '周承泽', '韩子昂']","['NOT9002', 'NOT9004']","{'status': 'active', 'plan_type': 'standard', 'start_date': '2025-01-01', 'end_date': '2025-03-31'}",rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则,rule_id,RULE1001,需要核对并可能调整的规则
2024H2,PLAN2025A,PLAN2025B,ORG200,"{'rule_id': 'RULE1001', 'new_max_rate': 0.042, 'simulation_rate': 0.042}","['林知夏', '周承泽', '韩子昂']","['NOT9002', 'NOT9004']","{'status': 'active', 'plan_type': 'standard', 'start_date': '2025-01-01', 'end_date': '2025-03-31'}",proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%,proposed_rule_max_rate,0.042,拟放宽到4.2%
2024H2,PLAN2025A,PLAN2025B,ORG200,"{'rule_id': 'RULE1001', 'new_max_rate': 0.042, 'simulation_rate': 0.042}","['林知夏', '周承泽', '韩子昂']","['NOT9002', 'NOT9004']","{'status': 'active', 'plan_type': 'standard', 'start_date': '2025-01-01', 'end_date': '2025-03-31'}",simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例,simulation_rate,0.042,关键员工试算比例
2024H2,PLAN2025A,PLAN2025B,ORG200,"{'rule_id': 'RULE1001', 'new_max_rate': 0.042, 'simulation_rate': 0.042}","['林知夏', '周承泽', '韩子昂']","['NOT9002', 'NOT9004']","{'status': 'active', 'plan_type': 'standard', 'start_date': '2025-01-01', 'end_date': '2025-03-31'}",simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象,simulation_employee_name,林知夏,规则试算对象
2024H2,PLAN2025A,PLAN2025B,ORG200,"{'rule_id': 'RULE1001', 'new_max_rate': 0.042, 'simulation_rate': 0.042}","['林知夏', '周承泽', '韩子昂']","['NOT9002', 'NOT9004']","{'status': 'active', 'plan_type': 'standard', 'start_date': '2025-01-01', 'end_date': '2025-03-31'}",blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工,blocked_employee_name,周承泽,需确认是否应排除的员工
